Path,Title,Title Len,Title Status,Description,Desc Len,Desc Status,og:image,Robots,Canonical,H1,Issues
/news-and-insights/blog,Blog | PPM America,18,TOO SHORT,We dig deep every day inspiring each other to identify new perspectives and opportunities. Our team-based culture stimulates debate and promotes fresh ideas which can lead to real value for our clients.,202,TOO LONG,,"index, follow",/news-and-insights/blog,Blog,title under 20 chars; description 202 chars - truncates in SERP; no og:image
/news-and-insights/blog/2026/08/ai-capex,AI Capex,8,TOO SHORT,"Marty Boulanger of our Emerging Markets team shares how comparisons to the Telecom buildout around the turn of the century give cause for both optimism and concern. In our view, the concentration of investment growth in AI-related sectors is a concern, more so than the level of investment in the economy.",305,TOO LONG,,index,/news-and-insights/blog/2026/08/ai-capex,Putting the AI Capex Cycle in Perspective,title under 20 chars; no brand suffix; description 305 chars - truncates in SERP; no og:image
/news-and-insights/blog/2026/08/clo-debt-outlook,CLO Debt Outlook,16,TOO SHORT,"We maintain a constructive outlook for the CLO market, in particular investment grade-rated CLO debt. Allison Nie of our private and structured credit team discusses CLO debt market drivers, including carry, technicals, regulatory developments and how managers are reacting to AI’s impact on the software sector.",312,TOO LONG,,index,/news-and-insights/blog/2026/08/clo-debt-outlook,Finding Value in the Shifting CLO Debt Market,title under 20 chars; no brand suffix; description 312 chars - truncates in SERP; no og:image
/news-and-insights/blog/2026/09/retail-spending,Retail Spending,15,TOO SHORT,"Back-to-school retail spending can serve as a stress test for US consumer before the holiday season. 
In our new PPM blog, Michelle McAllister of our credit research team shares how a nearly 10% increase in spending during the back-to-school season indicates that the consumer remains resilient despite higher gas prices, a trend we expect to continue for the holiday season.",375,TOO LONG,,index,/news-and-insights/blog/2026/09/retail-spending,Is a Happy Holiday Season for Retailers in the Forecast?,title under 20 chars; no brand suffix; description 375 chars - truncates in SERP; no og:image
/news-and-insights/market-insights,Market Insights | PPM America,29,SHORT,"Stay up to speed with the markets with timely market commentary from our CIO, portfolio managers and credit research team.",122,SHORT,,"index, follow",/news-and-insights/market-insights,Market Insights,no og:image
/news-and-insights/market-insights/2023/09/igppc-spotlight,IGPPC Spotlight,15,TOO SHORT,"Investors historically allocate funds to separately managed public credit and private credit strategies. As an alternative, they can now leverage the strengths of both markets through PPM America's Investment Grade Public/Private Credit Strategy, which can provide greater yield/spread potential, diversification and financial protections. This spotlight showcases how the potential benefits inherent in the strategy may be relevant to your investment goals.",458,TOO LONG,,index,/news-and-insights/market-insights/2023/09/igppc-spotlight,Investors Now Have a Unique Way to Combine Public and Private Investments,title under 20 chars; no brand suffix; description 458 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2023/10/regional-banks-spotlight,Regional Banks Spotlight,24,SHORT,"The spring's US regional banking crisis thrust the sector to the forefront for investors. Higher capital buffers, high interest rates and the potential for deposit flows require more active monitoring and research. PPM America consistently researches and invests in the sector on behalf of clients. This spotlight addresses regulatory proposals and their potential impacts on regional bank bond issuance, as well as our takeaways from a recent financial conference.",465,TOO LONG,,index,/news-and-insights/market-insights/2023/10/regional-banks-spotlight,Post Hoc: US Regional Banks After the Crisis,no brand suffix; description 465 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2024/01/long-bonds,Long Bonds,10,TOO SHORT,"Demand for long-dated corporate bonds increased in 2023 with the rise in yields. But with a lack of supply in long-end public credit, where else can investors turn to find similar opportunities? Learn how investment grade private credit can be a source for longer-dated and off-the-run maturities while also providing greater spread potential and covenant protections.",368,TOO LONG,,index,/news-and-insights/market-insights/2024/01/long-bonds,Looking for Long Bonds?,title under 20 chars; no brand suffix; description 368 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2024/04/cre-spolight,CRE Spolight,12,TOO SHORT,Investors are facing tougher portfolio management decisions as US public markets trade at rich valuations.1 Re-examining market drivers for dislocations between perceived and actual risks could be...,199,TOO LONG,,index,/news-and-insights/market-insights/2024/04/cre-spolight,CRE: Finding Value in a Misunderstood Market,title under 20 chars; no brand suffix; description 199 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2024/04/infographics,Infographic,11,DUPLICATE,Investors have been inundated with headlines about AI and how these new technologies will reportedly revolutionize everyday life. While financial market impacts can already be seen in the valuations of...,204,TOO LONG,,index,/news-and-insights/market-insights/2024/04/infographics,"Market, Economic Impacts of AI",title under 20 chars; duplicate title (7x); no brand suffix; description 204 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2024/05/macro-insights,Macro Insights,14,TOO SHORT,"The idea that rising rates can stimulate the economy is a fringe economic theory that appears to be getting more attention.1 A record amount of interest-bearing assets on household balance sheets help show how, aided by increasing interest payments from the US federal government. Our view is that higher rates are simply doing less economic damage than in the past. There are two secular shifts unique to this cycle that help explain why – fixed rate mortgages and a record number of retirees.",494,TOO LONG,,index,/news-and-insights/market-insights/2024/05/macro-insights,The Unexpected Tailwinds of Higher Rates,title under 20 chars; no brand suffix; description 494 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2024/07/infographics,Infographic,11,DUPLICATE,"It seems as if every other day, investors see equity indexes making new highs led by technology companies. The largest of these technology companies have market values that would rank among the top 10 countries in terms of gross domestic product.1 After exploring the impact of artificial intelligence (AI) on the economy and financial markets last quarter, let’s take a step back and put into perspective the growth of the information technology (IT) sector and reach of technology companies as a whole.",504,TOO LONG,,index,/news-and-insights/market-insights/2024/07/infographics,The Burgeoning Influence of Technology,title under 20 chars; duplicate title (7x); no brand suffix; description 504 chars - truncates in SERP; duplicate description; no og:image
/news-and-insights/market-insights/2024/10/infographics,Infographic,11,DUPLICATE,"It seems as if every other day, investors see equity indexes making new highs led by technology companies. The largest of these technology companies have market values that would rank among the top 10 countries in terms of gross domestic product.1 After exploring the impact of artificial intelligence (AI) on the economy and financial markets last quarter, let’s take a step back and put into perspective the growth of the information technology (IT) sector and reach of technology companies as a whole.",504,TOO LONG,,index,/news-and-insights/market-insights/2024/10/infographics,Visualizing China's Economic Issues,title under 20 chars; duplicate title (7x); no brand suffix; description 504 chars - truncates in SERP; duplicate description; no og:image
/news-and-insights/market-insights/2025/01/infographic,Infographic,11,DUPLICATE,"As we kick off the new investment year, numerous market prognosticators are calling for an uptick in both M&A and IPO activity. The economy seems to have pulled off a soft landing; the S&P 500 hit all-time highs 57 times during 2024; and CEOs are optimistic about the future. Throw in a new presidential administration that should be pro-business, and the stage seems set for a rebound. Let’s take a closer look at current conditions to see how likely the potential may be for M&A and IPO activity to flourish in 2025 and provide opportunities for investors.",558,TOO LONG,,index,/news-and-insights/market-insights/2025/01/infographic,Will M&A and IPO Potential Become Reality?,title under 20 chars; duplicate title (7x); no brand suffix; description 558 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/01/quarterly-insights,Quarterly Insights,18,DUPLICATE,"As is often the case following periods of strong market performance, “bull market complacency” can creep in as investors lose sight of the fundamentals that anchor valuations. The extreme of this view is that the credit quality of each distinct issuer is irrelevant. At PPM, we strongly reject this point of view.",313,TOO LONG,,index,/news-and-insights/market-insights/2025/01/quarterly-insights,Beware of Bull Market Complacency,title under 20 chars; duplicate title (5x); no brand suffix; description 313 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/02/ma-activity,MA Activity,11,TOO SHORT,"As investors look to put their money to work in 2025, one area to pay attention to is the potential for an increase in M&A activity. PPM’s experienced credit research team, working collaboratively with portfolio managers and traders, has the processes in place to help identify potential targets and acquirers and position client portfolios accordingly.",353,TOO LONG,,index,/news-and-insights/market-insights/2025/02/ma-activity,Capitalizing on M&A Activity,title under 20 chars; no brand suffix; description 353 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/03/ig-emd,IG EMD,6,TOO SHORT,"At PPM, we see an elegant solution to General Account (GA) portfolios seeking capital-efficient yield enhancement without giving up liquidity or transparency – Investment Grade (IG) rated Emerging Market (EM) public debt. This segment of the EM universe allows an opportunity for a significant pick-up over comparable US corporate credit allocations with all-in yield and spread levels similar to those attainable in the IG Private Credit space. Counterintuitively, this income pick-up is generated with a risk, volatility, impairment and capital charge profile similar to, if not better than, US corporate credit opportunities.",628,TOO LONG,,index,/news-and-insights/market-insights/2025/03/ig-emd,Investment Grade Emerging Market Debt for General Account Clients,title under 20 chars; no brand suffix; description 628 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/04/infographic,Infographic,11,DUPLICATE,"The macro picture is murky. Rapidly changing tariff headlines have created uncertainty, which has manifested in weaker consumer and, in some cases, business sentiment. So far, this bearish inflection in sentiment has yet to show clearly in hard economic data. It may be too early, given most broad economic datapoints are reported with a lag. However, some less-followed economic data are pointing to increasing headwinds.",422,TOO LONG,,index,/news-and-insights/market-insights/2025/04/infographic,Putting Alternative Economic Data Under the Microscope,title under 20 chars; duplicate title (7x); no brand suffix; description 422 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/04/quarterly-insights,Quarterly Insights,18,DUPLICATE,"Regardless of what happens in the days and weeks to come concerning tariffs, US and global growth is likely to slow down materially in our view. However, bonds are once again demonstrating some of their defensive characteristics in times of market upheaval. With yields at elevated levels, the higher income potential of US fixed income becomes even more compelling for investors when considering that bonds have typically been less volatile than stocks over the last 20 years.",477,TOO LONG,,index,/news-and-insights/market-insights/2025/04/quarterly-insights,Seeking (Bond) Shelter in a Tariff-ied World,title under 20 chars; duplicate title (5x); no brand suffix; description 477 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/05/corporate-responsibility-report,Corporate Responsibility Report,31,DUPLICATE,"We are pleased to share our 2024 Corporate Responsibility Report. Our latest report describes the commitments we make to our clients, employees, and communities in support of achieving their sustainability goals.",212,TOO LONG,,index,/news-and-insights/market-insights/2025/05/corporate-responsibility-report,Corporate Responsibility Report,duplicate title (2x); no brand suffix; description 212 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/06/em-spotlight,EM Spotlight,12,DUPLICATE,"In our view, fundamental and asset allocation trends are in place that should benefit emerging market local currency supranational bonds over the medium term. We believe these types of bonds can offer investors the ability to blend attractive return opportunities with risk-mitigating contractual features that can be applied across a broad and highly-diversified set of currency pairs.",386,TOO LONG,,index,/news-and-insights/market-insights/2025/06/em-spotlight,The Case for Emerging Market Local Currency Supranational Bonds,title under 20 chars; duplicate title (2x); no brand suffix; description 386 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/07/quarterly-insights,Quarterly Insights,18,DUPLICATE,"Perhaps the most widespread question for investors in recent weeks is why US economic activity has not weakened despite the magnitude of tariffs imposed since April. While reasons come to mind (weaker dollar, low gas prices, tax bill), a simpler explanation may be a lag between the announcement of tariffs and their economic impact. Despite uncertainty, we believe there are some conclusions that can be drawn based on the factors supporting growth as well as the example of the 2018 tariff war. These conclusions help frame our investment outlook for the second half of 2025.",577,TOO LONG,,index,/news-and-insights/market-insights/2025/07/quarterly-insights,"Tariffs, the Dog That Barked (a Lot) but Didn't Bite?",title under 20 chars; duplicate title (5x); no brand suffix; description 577 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/08/clo-equity,CLO Equity,10,TOO SHORT,"What is CLO Equity?
- A collateralized loan obligation (CLO) is a special purpose investment vehicle that issues bonds at different rating levels as well as an unrated
equity tranche to raise funds. The CLO then invests those proceeds in a diversified pool of floating rate loans
- Bond investors are paid on a quarterly basis according to their seniority in the capital structure. Equity tranche investors receive all of the
excess payments each quarter. The equity tranche bears the risk of the first loss but also captures the potential upside",546,TOO LONG,,,/news-and-insights/market-insights/2025/08/clo-equity,An Introduction to CLOs and CLO Equity,title under 20 chars; no brand suffix; description 546 chars - truncates in SERP; no og:image; no robots tag
/news-and-insights/market-insights/2025/09/em-spotlight,EM Spotlight,12,DUPLICATE,"Frontier Market debt, in some ways, looks like a throwback to the early days of Emerging Market (EM) debt as an asset class, offering both higher yields and greater potential for economic convergence across a subset of typically below investment grade-rated EM countries. While we expect the development of Frontier Markets to play out differently from the first “iteration” of EM, we think that experience can still serve as a guide – where despite a less certain journey, we have a clear understanding of the destination.",523,TOO LONG,,index,/news-and-insights/market-insights/2025/09/em-spotlight,Frontier Market Debt: Making History Rhyme,title under 20 chars; duplicate title (2x); no brand suffix; description 523 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/10/quarterly-insights,Quarterly Insights,18,DUPLICATE,"So far, tariff-related headwinds have failed to durably dent the march higher in market valuations. For example, the spread of the Bloomberg US Credit Index recently reached 68 bps, the tightest level since 1997. Our rigorous focus on fundamentals compels us to examine whether current bond spreads fully reflect all the risks that exist in the economy and the financial system (inflation, consumer resiliency, private credit lending).",435,TOO LONG,,index,/news-and-insights/market-insights/2025/10/quarterly-insights,Old and New Risks Test Faith in Market Valuations,title under 20 chars; duplicate title (5x); no brand suffix; description 435 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2025/12/2026-outlook,2026 Outlook,12,TOO SHORT,"US economic resilience has been a multi-year theme, including 2025 when the economy kept growing amid the largest tariff implementation since the 1930s. Growth has aided corporate profitability, and that strong fundamental backdrop has buoyed markets, with equities trading around all-time highs and corporate bonds experiencing historically tight spread levels.
Strong fundamentals are expected by the market in 2026, driven by consumer spending and AI investments. Market participants can't help but opine on the multi-year outlook for AI and its potential ramifications for productivity, the workplace and our daily lives. However, while we don't lose sight of the long-term at PPM, our bottom-up focus behooves us to acknowledge already rich valuations and that 2026 could bring headwinds to market technicals.",814,TOO LONG,,index,/news-and-insights/market-insights/2025/12/2026-outlook,Staying Grounded in a Shifting Landscape,title under 20 chars; no brand suffix; description 814 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/01/infographic,Infographic,11,DUPLICATE,"We take a closer look at the plunge into AI investing. Despite significant free cash flow and expected bond issuance, there may be a funding gap. Questions also surround AI integration.",185,TOO LONG,,index,/news-and-insights/market-insights/2026/01/infographic,The Plunge into AI Investing,title under 20 chars; duplicate title (7x); no brand suffix; description 185 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/01/quarterly-insights,Quarterly Insights,18,DUPLICATE,"High valuations raise the question of how markets are likely to perform in 2026. If markets performed strongly in 2025 despite valuations, can they do so again in 2026? The answer to that question may come down to how well the market handles what’s different between the two years.",281,TOO LONG,,index,/news-and-insights/market-insights/2026/01/quarterly-insights,2025 vs. 2026: Spot the Differences,title under 20 chars; duplicate title (5x); no brand suffix; description 281 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/04/asset-class-focus,Asset Class Focus,17,TOO SHORT,"Market reaction to AI adoption, private credit fears and conflict in the Middle East has created opportunities to reposition. The US high yield strategy was active in Healthcare, Financials and Energy during the quarter.",220,TOO LONG,,index,/news-and-insights/market-insights/2026/04/asset-class-focus,Asset Class Focus: US High Yield,title under 20 chars; no brand suffix; description 220 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/04/cio-letter,CIO Letter,10,DUPLICATE,"Investor concerns around private credit and its exposure to AI disruption seem justified. Private credit lending is substantial, while bank lending to private credit has also grown. However, our view is that the impact of private credit risks on financial markets is likely to be limited, as we believe the amount lent is not overwhelming relative to the size of the economy. On the broader issue of AI disruption, innovation (e.g., railroads, automobiles, the internet) has almost always caused market jitters but has generally led to better long-term growth and economic outcomes, both of which should be good for risk assets.",628,TOO LONG,,index,/news-and-insights/market-insights/2026/04/cio-letter,A Tempest in a Teapot?,title under 20 chars; duplicate title (2x); no brand suffix; description 628 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/04/infographic,Infographic,11,DUPLICATE,"While investors continue to focus on near-term developments in the Middle East (ceasefire, Strait of Hormuz, fighting in Lebanon), many of the impacts experienced since the war began are likely to have longer-term ramifications for commodity markets. We highlight some of those below, which could impact not only oil and gas markets, butalso refined products and other commodities experiencing supply chain issues (fertilizer, aluminum, etc.).",443,TOO LONG,,index,/news-and-insights/market-insights/2026/04/infographic,Get This Strait: Longer-Term Implications of Reduced Hormuz Traffic,title under 20 chars; duplicate title (7x); no brand suffix; description 443 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/04/into-to-bdcs,Intro to BDCs,13,TOO SHORT,"A business development company (BDC) is a specialized closed-end fund designed to provide credit to private middle-market companies. Portfolio construction has resulted in many BDCs maintaining relatively large allocations to the technology and software sectors, making the industry particularly sensitive to the recent decline in software equity and credit valuations. PPM systematically tracks schedules of investments for every BDC, aiming to identify potential credit deterioration before it manifests.

In this piece, learn more about BDCs, including: the characteristics of different BDC structures, the composition of BDC portfolios, how one analyzes a BDC and what is the relative value framework.",705,TOO LONG,,index,/news-and-insights/market-insights/2026/04/into-to-bdcs,Introduction to BDCs,title under 20 chars; no brand suffix; description 705 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/05/corporate-responsibility-report,Corporate Responsibility Report,31,DUPLICATE,"We are pleased to share our 2025 Corporate Responsibility Report. Our latest report highlights how we assess sustainability risks and opportunities, strengthen our local communities and foster a respectful and engagement culture.",229,TOO LONG,,index,/news-and-insights/market-insights/2026/05/corporate-responsibility-report,Corporate Responsibility Report,duplicate title (2x); no brand suffix; description 229 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/07/cio-letter,CIO Letter,10,DUPLICATE,"In our latest CIO Letter, Ogechi Nwachukwu discusses why fixed income markets can remain resilient despite fiscal concerns and elevated Treasury yields. As corporate credit profiles improve and spreads remain tight, we believe risk markets are appropriately valued.

Elevated Treasury yields typically should reflect the market's views on the risks of lending to the US sovereign, which is in a deteriorating fiscal situation exemplified by a historically high deficit. US corporations, on the other hand, are generally improving their profitability and credit ratings. This convergence in credit quality may result in tighter spreads, all things being equal, which is consistent with what is happening in fixed income markets, outside of AI-related issuance. Given we do not see an aggressive Fed hiking cycle to combat sticky inflation, we believe risk markets are in an appropriate place. They are unlikely to sell off significantly, in our view, though markets could experience pullbacks that are met by increased demand (i.e., the ""buy-the-dip"" mentality).",1061,TOO LONG,,index,/news-and-insights/market-insights/2026/07/cio-letter,"An Argument for the Tight Spread, Elevated Yield Environment",title under 20 chars; duplicate title (2x); no brand suffix; description 1061 chars - truncates in SERP; no og:image
/news-and-insights/market-insights/2026/07/hy-outlook,HY Outlook,10,TOO SHORT,"US high yield experienced a positive Q2 2026 amid an eye-popping recovery in equities and a US Treasury sell-off. The PPM Leveraged Credit team took the opportunity to adjust positioning in the strategy by adding credits in the 100-300 bps spread bucket and reducing distressed credits. We were also active in various sectors, adding to Technology & Electronics, Basic Industry and Energy while reducing Insurance and Foreign Sovereign.",436,TOO LONG,,index,/news-and-insights/market-insights/2026/07/hy-outlook,High Yield,title under 20 chars; no brand suffix; description 436 chars - truncates in SERP; no og:image
